5856
23	(-0.290954,-0.545331,-0.653249) (-0.270279,-0.542014,-0.694491) (-0.265379,-0.609255,-0.69684)
24	(-0.265379,-0.609255,-0.69684) (-0.270279,-0.542014,-0.694491) (-0.230794,-0.540185,-0.719651)
25	(-0.232566,-0.525563,-0.46701) (-0.272488,-0.494447,-0.48869) (-0.261978,-0.562262,-0.50576)
26	(-0.261978,-0.562262,-0.50576) (-0.272488,-0.494447,-0.48869) (-0.289583,-0.490496,-0.546326)
27	(-0.289583,-0.490496,-0.546326) (-0.285535,-0.554433,-0.54962) (-0.261978,-0.562262,-0.50576)
28	(-0.295234,-0.549636,-0.602699) (-0.285535,-0.554433,-0.54962) (-0.289583,-0.490496,-0.546326)
29	(-0.290954,-0.545331,-0.653249) (-0.295234,-0.549636,-0.602699) (-0.29596,-0.485633,-0.600257)
30	(-0.289583,-0.490496,-0.546326) (-0.29596,-0.485633,-0.600257) (-0.295234,-0.549636,-0.602699)
31	(-0.270279,-0.542014,-0.694491) (-0.290954,-0.545331,-0.653249) (-0.290367,-0.480848,-0.64937)
32	(-0.29596,-0.485633,-0.600257) (-0.290367,-0.480848,-0.64937) (-0.290954,-0.545331,-0.653249)
33	(-0.290367,-0.480848,-0.64937) (-0.269928,-0.476909,-0.688713) (-0.270279,-0.542014,-0.694491)
34	(-0.231773,-0.474582,-0.713333) (-0.230794,-0.540185,-0.719651) (-0.270279,-0.542014,-0.694491)
35	(-0.270279,-0.542014,-0.694491) (-0.269928,-0.476909,-0.688713) (-0.231773,-0.474582,-0.713333)
36	(-0.271634,-0.475726,-0.439548) (-0.272488,-0.494447,-0.48869) (-0.232566,-0.525563,-0.46701)
37	(-0.232566,-0.525563,-0.46701) (-0.241444,-0.499802,-0.434625) (-0.271634,-0.475726,-0.439548)
38	(-0.271634,-0.475726,-0.439548) (-0.241444,-0.499802,-0.434625) (-0.251161,-0.48926,-0.391851)
39	(-0.251161,-0.48926,-0.391851) (-0.276251,-0.469498,-0.393327) (-0.271634,-0.475726,-0.439548)
40	(-0.288534,-0.443503,-0.49302) (-0.272488,-0.494447,-0.48869) (-0.271634,-0.475726,-0.439548)
41	(-0.289583,-0.490496,-0.546326) (-0.272488,-0.494447,-0.48869) (-0.288534,-0.443503,-0.49302)
42	(-0.288534,-0.443503,-0.49302) (-0.292453,-0.440167,-0.546203) (-0.289583,-0.490496,-0.546326)
43	(-0.29596,-0.485633,-0.600257) (-0.289583,-0.490496,-0.546326) (-0.292453,-0.440167,-0.546203)
