40018
26	(0.0328091,-0.538194,-0.342653) (0.0242255,-0.526051,-0.353706) (0.0395282,-0.528555,-0.354952)
27	(-0.0107815,-0.520348,-0.343642) (-0.01745,-0.509162,-0.348146) (-0.00566018,-0.510318,-0.353487)
28	(-0.00566018,-0.510318,-0.353487) (0.00469136,-0.51956,-0.351469) (-0.0107815,-0.520348,-0.343642)
29	(0.00847548,-0.529817,-0.343416) (0.00469136,-0.51956,-0.351469) (0.0242255,-0.526051,-0.353706)
30	(0.00847548,-0.529817,-0.343416) (-0.0107815,-0.520348,-0.343642) (0.00469136,-0.51956,-0.351469)
31	(0.0242255,-0.526051,-0.353706) (0.0328091,-0.538194,-0.342653) (0.0227115,-0.537591,-0.340023)
32	(0.0242255,-0.526051,-0.353706) (0.0227115,-0.537591,-0.340023) (0.00847548,-0.529817,-0.343416)
33	(-0.01745,-0.509162,-0.348146) (-0.0276527,-0.508274,-0.341163) (-0.0324841,-0.494089,-0.345344)
34	(0.056381,-0.543939,-0.338255) (0.043299,-0.537469,-0.345562) (0.058989,-0.537962,-0.34697)
35	(-0.0276527,-0.508274,-0.341163) (-0.01745,-0.509162,-0.348146) (-0.025754,-0.515397,-0.337057)
36	(-0.0107815,-0.520348,-0.343642) (-0.025754,-0.515397,-0.337057) (-0.01745,-0.509162,-0.348146)
37	(0.0720441,-0.54523,-0.337967) (0.056381,-0.543939,-0.338255) (0.058989,-0.537962,-0.34697)
38	(0.0430321,-0.542716,-0.338262) (0.0328091,-0.538194,-0.342653) (0.043299,-0.537469,-0.345562)
39	(0.043299,-0.537469,-0.345562) (0.056381,-0.543939,-0.338255) (0.0430321,-0.542716,-0.338262)
40	(-0.00741899,-0.529296,-0.335606) (-0.0107815,-0.520348,-0.343642) (0.00847548,-0.529817,-0.343416)
41	(-0.0276527,-0.508274,-0.341163) (-0.0461663,-0.495352,-0.332917) (-0.0324841,-0.494089,-0.345344)
42	(0.00847548,-0.529817,-0.343416) (0.0227115,-0.537591,-0.340023) (0.00475723,-0.537882,-0.330862)
43	(0.00475723,-0.537882,-0.330862) (-0.00741899,-0.529296,-0.335606) (0.00847548,-0.529817,-0.343416)
44	(0.0463222,-0.548005,-0.330368) (0.0328091,-0.538194,-0.342653) (0.0430321,-0.542716,-0.338262)
